game_date,season,player_name,team,opponent,home_away,minutes,points,rebounds,assists,threes_made,steals,blocks,turnovers,fga,fgm,fta,ftm,offensive_rebounds,defensive_rebounds,plus_minus,player_key,is_home,_data_source
2025-05-18,2025,Alanna Smith,DAL,LAS,A,17.0,18.0,3.0,3.0,4.0,0.0,2.0,,,,,,,,,alanna smith,0,csv
2025-05-22,2025,Alanna Smith,DAL,DAL,H,29.0,13.0,6.0,2.0,3.0,0.0,2.0,,,,,,,,,alanna smith,1,csv
2025-05-23,2025,Alanna Smith,DAL,CON,H,15.0,2.0,0.0,2.0,0.0,4.0,2.0,,,,,,,,,alanna smith,1,csv
2025-05-28,2025,Alanna Smith,DAL,SEA,H,28.0,16.0,7.0,3.0,2.0,2.0,0.0,,,,,,,,,alanna smith,1,csv
2025-05-31,2025,Alanna Smith,DAL,PHX,A,34.0,19.0,4.0,0.0,2.0,0.0,4.0,,,,,,,,,alanna smith,0,csv
2025-06-02,2025,Alanna Smith,DAL,GSV,A,26.0,0.0,4.0,2.0,0.0,1.0,2.0,,,,,,,,,alanna smith,0,csv
2025-06-04,2025,Alanna Smith,DAL,PHX,H,25.0,13.0,3.0,6.0,3.0,0.0,3.0,,,,,,,,,alanna smith,1,csv
2025-06-08,2025,Alanna Smith,DAL,DAL,A,32.0,4.0,7.0,6.0,0.0,2.0,4.0,,,,,,,,,alanna smith,0,csv
2025-06-12,2025,Alanna Smith,DAL,SEA,A,37.0,14.0,6.0,1.0,1.0,1.0,0.0,,,,,,,,,alanna smith,0,csv
2025-06-14,2025,Alanna Smith,DAL,LAS,H,22.0,3.0,3.0,2.0,1.0,0.0,3.0,,,,,,,,,alanna smith,1,csv
2025-06-18,2025,Alanna Smith,DAL,LVA,H,31.0,10.0,13.0,3.0,0.0,0.0,2.0,,,,,,,,,alanna smith,1,csv
2025-06-22,2025,Alanna Smith,DAL,LAS,H,29.0,6.0,8.0,3.0,1.0,0.0,2.0,,,,,,,,,alanna smith,1,csv
2025-06-25,2025,Alanna Smith,DAL,WAS,A,30.0,26.0,5.0,2.0,2.0,2.0,6.0,,,,,,,,,alanna smith,0,csv
2025-06-27,2025,Alanna Smith,DAL,ATL,A,30.0,9.0,8.0,4.0,1.0,2.0,3.0,,,,,,,,,alanna smith,0,csv
2025-06-29,2025,Alanna Smith,DAL,CON,H,21.0,9.0,7.0,2.0,0.0,0.0,2.0,,,,,,,,,alanna smith,1,csv
2025-07-02,2025,Alanna Smith,DAL,IND,H,31.0,15.0,5.0,2.0,3.0,1.0,1.0,,,,,,,,,alanna smith,1,csv
2025-07-04,2025,Alanna Smith,DAL,WAS,H,28.0,10.0,4.0,4.0,2.0,1.0,3.0,,,,,,,,,alanna smith,1,csv
2025-07-06,2025,Alanna Smith,DAL,CHI,H,24.0,4.0,2.0,1.0,0.0,2.0,2.0,,,,,,,,,alanna smith,1,csv
2025-07-06,2025,Alanna Smith,DAL,GSV,H,19.0,5.0,5.0,6.0,1.0,1.0,2.0,,,,,,,,,alanna smith,1,csv
2025-07-09,2025,Alanna Smith,DAL,PHX,A,29.0,2.0,9.0,1.0,0.0,0.0,0.0,,,,,,,,,alanna smith,0,csv
2025-07-10,2025,Alanna Smith,DAL,LAS,A,23.0,15.0,5.0,0.0,3.0,2.0,2.0,,,,,,,,,alanna smith,0,csv
2025-07-12,2025,Alanna Smith,DAL,CHI,A,34.0,8.0,5.0,4.0,0.0,6.0,2.0,,,,,,,,,alanna smith,0,csv
2025-07-15,2025,Alanna Smith,DAL,CHI,A,25.0,4.0,7.0,5.0,0.0,0.0,1.0,,,,,,,,,alanna smith,0,csv
2025-07-16,2025,Alanna Smith,DAL,PHX,H,22.0,11.0,5.0,3.0,3.0,0.0,1.0,,,,,,,,,alanna smith,1,csv
2025-07-23,2025,Alanna Smith,DAL,CHI,H,27.0,10.0,4.0,2.0,2.0,1.0,1.0,,,,,,,,,alanna smith,1,csv
2025-07-25,2025,Alanna Smith,DAL,LVA,H,19.0,4.0,6.0,4.0,0.0,3.0,1.0,,,,,,,,,alanna smith,1,csv
2025-07-27,2025,Alanna Smith,DAL,ATL,H,31.0,12.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,alanna smith,1,csv
2025-07-31,2025,Alanna Smith,DAL,NYL,H,30.0,12.0,5.0,3.0,2.0,0.0,3.0,,,,,,,,,alanna smith,1,csv
2025-08-02,2025,Alanna Smith,DAL,LVA,A,15.0,7.0,6.0,3.0,1.0,1.0,1.0,,,,,,,,,alanna smith,0,csv
2025-08-06,2025,Alanna Smith,DAL,SEA,A,23.0,6.0,4.0,2.0,1.0,5.0,2.0,,,,,,,,,alanna smith,0,csv
2025-08-08,2025,Alanna Smith,DAL,WAS,H,36.0,25.0,5.0,4.0,4.0,1.0,1.0,,,,,,,,,alanna smith,1,csv
2025-08-10,2025,Alanna Smith,DAL,NYL,A,38.0,8.0,9.0,7.0,2.0,4.0,3.0,,,,,,,,,alanna smith,0,csv
2025-08-16,2025,Alanna Smith,DAL,NYL,H,35.0,14.0,7.0,2.0,0.0,1.0,4.0,,,,,,,,,alanna smith,1,csv
2025-08-19,2025,Alanna Smith,DAL,NYL,A,32.0,5.0,9.0,2.0,0.0,3.0,2.0,,,,,,,,,alanna smith,0,csv
2025-08-21,2025,Alanna Smith,DAL,ATL,A,37.0,10.0,6.0,1.0,2.0,3.0,2.0,,,,,,,,,alanna smith,0,csv
2025-08-22,2025,Alanna Smith,DAL,IND,A,25.0,8.0,3.0,5.0,2.0,0.0,1.0,,,,,,,,,alanna smith,0,csv
2025-08-24,2025,Alanna Smith,DAL,IND,H,24.0,8.0,3.0,2.0,0.0,1.0,0.0,,,,,,,,,alanna smith,1,csv
2025-08-29,2025,Alanna Smith,DAL,SEA,H,24.0,8.0,5.0,3.0,1.0,0.0,2.0,,,,,,,,,alanna smith,1,csv
2025-08-30,2025,Alanna Smith,DAL,CON,A,25.0,18.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,alanna smith,0,csv
2025-09-02,2025,Alanna Smith,DAL,DAL,H,20.0,4.0,4.0,4.0,0.0,1.0,0.0,,,,,,,,,alanna smith,1,csv
2025-09-05,2025,Alanna Smith,DAL,LVA,A,24.0,13.0,4.0,2.0,1.0,0.0,0.0,,,,,,,,,alanna smith,0,csv
2025-09-09,2025,Alanna Smith,DAL,IND,A,20.0,11.0,3.0,4.0,1.0,1.0,2.0,,,,,,,,,alanna smith,0,csv
2025-09-12,2025,Alanna Smith,DAL,GSV,H,18.0,0.0,1.0,3.0,0.0,2.0,3.0,,,,,,,,,alanna smith,1,csv
2026-05-09,2026,Alanna Smith,DAL,IND,A,20.0,6.0,3.0,2.0,0.0,2.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,-7.0,alanna smith,0,csv
2026-05-08,2026,Alex Wilson,WAS,TOR,A,17.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,-4.0,alex wilson,0,csv
2026-05-10,2026,Alex Wilson,WAS,NYL,H,24.0,5.0,4.0,2.0,1.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,4.0,0.0,0.0,alex wilson,1,csv
2026-05-10,2026,Alicia Florez Getino,WAS,NYL,H,,,,,,,,,,,,,,,,alicia florez getino,1,csv
2026-05-27,2026,Alicia Florez Getino,WAS,SEA,A,23.0,9.0,5.0,3.0,1.0,2.0,0.0,1.0,9.0,4.0,0.0,0.0,2.0,3.0,7.0,alicia florez getino,0,csv
2026-05-29,2026,Alicia Florez Getino,WAS,LAS,H,25.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,3.0,1.0,0.0,-5.0,alicia florez getino,1,csv
2026-06-02,2026,Alicia Florez Getino,WAS,CHI,H,19.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,3.0,4.0,2.0,0.0,0.0,-2.0,alicia florez getino,1,csv
2026-06-06,2026,Alicia Florez Getino,WAS,ATL,A,20.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,7.0,1.0,2.0,0.0,1.0,1.0,-29.0,alicia florez getino,0,csv
2025-05-16,2025,Aliyah Boston,IND,CON,H,34.5,14.1,6.4,3.5,0.3,1.6,1.8,,,,,,,,,aliyah boston,1,csv
2025-05-18,2025,Aliyah Boston,IND,CON,H,29.4,16.4,8.2,7.0,1.7,1.0,1.0,,,,,,,,,aliyah boston,1,csv
2025-05-20,2025,Aliyah Boston,IND,CON,H,29.7,9.2,6.6,2.6,0.9,1.8,0.7,,,,,,,,,aliyah boston,1,csv
2025-05-22,2025,Aliyah Boston,IND,CON,H,31.4,9.3,11.1,5.4,0.0,1.0,0.2,,,,,,,,,aliyah boston,1,csv
2025-05-24,2025,Aliyah Boston,IND,CON,H,31.6,18.2,6.1,1.2,0.5,0.8,1.7,,,,,,,,,aliyah boston,1,csv
2025-05-26,2025,Aliyah Boston,IND,CON,H,30.8,15.0,8.9,4.9,0.0,0.1,0.9,,,,,,,,,aliyah boston,1,csv
2025-05-28,2025,Aliyah Boston,IND,CON,H,33.6,15.9,7.4,4.1,0.0,0.8,1.9,,,,,,,,,aliyah boston,1,csv
2025-05-30,2025,Aliyah Boston,IND,CON,H,29.2,17.6,8.4,0.7,0.0,1.0,1.7,,,,,,,,,aliyah boston,1,csv
2025-06-01,2025,Aliyah Boston,IND,CON,H,31.9,22.5,9.3,4.4,2.8,0.7,1.0,,,,,,,,,aliyah boston,1,csv
2025-06-03,2025,Aliyah Boston,IND,CON,H,32.9,9.6,9.1,3.5,0.0,0.8,1.1,,,,,,,,,aliyah boston,1,csv
2025-06-05,2025,Aliyah Boston,IND,CON,H,31.0,14.3,5.5,4.1,0.0,1.2,0.7,,,,,,,,,aliyah boston,1,csv
2025-06-07,2025,Aliyah Boston,IND,CON,H,27.4,15.1,8.9,2.7,0.0,0.6,1.2,,,,,,,,,aliyah boston,1,csv
2025-06-09,2025,Aliyah Boston,IND,CON,H,28.3,6.4,7.6,0.0,0.0,0.3,1.0,,,,,,,,,aliyah boston,1,csv
2025-06-11,2025,Aliyah Boston,IND,CON,H,31.2,18.2,10.1,1.8,0.0,1.7,1.5,,,,,,,,,aliyah boston,1,csv
2025-06-13,2025,Aliyah Boston,IND,CON,H,27.5,12.1,8.3,5.3,0.0,0.7,1.7,,,,,,,,,aliyah boston,1,csv
2025-06-15,2025,Aliyah Boston,IND,CON,H,29.6,17.5,7.5,5.0,0.4,0.4,1.0,,,,,,,,,aliyah boston,1,csv
2025-06-17,2025,Aliyah Boston,IND,CON,H,27.3,14.7,7.5,0.0,0.5,0.6,0.4,,,,,,,,,aliyah boston,1,csv
2025-06-19,2025,Aliyah Boston,IND,CON,H,32.8,19.8,8.8,2.9,0.5,0.0,1.6,,,,,,,,,aliyah boston,1,csv
2025-06-21,2025,Aliyah Boston,IND,CON,H,29.2,21.4,8.3,3.4,0.0,0.3,0.7,,,,,,,,,aliyah boston,1,csv
2025-06-23,2025,Aliyah Boston,IND,CON,H,26.7,19.3,7.9,4.5,2.5,0.6,1.2,,,,,,,,,aliyah boston,1,csv
2025-06-25,2025,Aliyah Boston,IND,CON,H,27.8,12.3,8.3,4.2,0.7,1.2,1.1,,,,,,,,,aliyah boston,1,csv
2025-06-27,2025,Aliyah Boston,IND,CON,H,29.9,17.7,8.1,3.4,1.2,1.3,1.3,,,,,,,,,aliyah boston,1,csv
2025-06-29,2025,Aliyah Boston,IND,CON,H,28.1,9.6,9.4,6.9,1.5,0.0,2.1,,,,,,,,,aliyah boston,1,csv
2025-07-01,2025,Aliyah Boston,IND,CON,H,26.9,18.5,10.8,1.9,0.4,0.6,1.6,,,,,,,,,aliyah boston,1,csv
2026-05-09,2026,Aliyah Boston,IND,DAL,H,26.0,23.0,4.0,3.0,1.0,3.0,1.0,1.0,14.0,9.0,6.0,4.0,2.0,2.0,0.0,aliyah boston,1,csv
2023-05-20,2023,Allisha Gray,ATL,DAL,A,30.0,10.0,7.0,7.0,0.0,0.0,0.0,,,,,,,,,allisha gray,0,csv
2023-05-24,2023,Allisha Gray,ATL,MIN,A,35.0,26.0,10.0,1.0,3.0,1.0,2.0,,,,,,,,,allisha gray,0,csv
2023-05-28,2023,Allisha Gray,ATL,IND,H,32.0,19.0,4.0,4.0,3.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2023-05-30,2023,Allisha Gray,ATL,CHI,H,27.0,13.0,4.0,1.0,0.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2023-06-03,2023,Allisha Gray,ATL,LVA,H,36.0,16.0,5.0,5.0,1.0,1.0,0.0,,,,,,,,,allisha gray,1,csv
2023-06-09,2023,Allisha Gray,ATL,NYL,H,31.0,17.0,5.0,1.0,1.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2023-06-11,2023,Allisha Gray,ATL,CON,H,31.0,18.0,6.0,3.0,0.0,3.0,0.0,,,,,,,,,allisha gray,1,csv
2023-06-14,2023,Allisha Gray,ATL,NYL,A,30.0,16.0,6.0,1.0,1.0,2.0,0.0,,,,,,,,,allisha gray,0,csv
2023-06-15,2023,Allisha Gray,ATL,CON,A,45.0,27.0,10.0,2.0,1.0,0.0,0.0,,,,,,,,,allisha gray,0,csv
2023-06-18,2023,Allisha Gray,ATL,IND,A,29.0,25.0,2.0,3.0,1.0,2.0,0.0,,,,,,,,,allisha gray,0,csv
2023-06-21,2023,Allisha Gray,ATL,DAL,A,29.0,9.0,3.0,4.0,0.0,0.0,0.0,,,,,,,,,allisha gray,0,csv
2023-06-23,2023,Allisha Gray,ATL,NYL,H,30.0,17.0,4.0,2.0,1.0,2.0,0.0,,,,,,,,,allisha gray,1,csv
2023-06-28,2023,Allisha Gray,ATL,WAS,A,36.0,17.0,3.0,3.0,0.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2023-06-30,2023,Allisha Gray,ATL,WAS,H,40.0,26.0,5.0,4.0,1.0,1.0,1.0,,,,,,,,,allisha gray,1,csv
2023-07-02,2023,Allisha Gray,ATL,LAS,H,32.0,15.0,2.0,2.0,0.0,2.0,0.0,,,,,,,,,allisha gray,1,csv
2023-07-06,2023,Allisha Gray,ATL,LAS,A,34.0,23.0,4.0,6.0,2.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2023-07-08,2023,Allisha Gray,ATL,CHI,A,37.0,21.0,5.0,3.0,2.0,3.0,1.0,,,,,,,,,allisha gray,0,csv
2023-07-10,2023,Allisha Gray,ATL,CHI,A,36.0,11.0,5.0,5.0,1.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2023-07-12,2023,Allisha Gray,ATL,SEA,H,32.0,19.0,6.0,3.0,0.0,1.0,0.0,,,,,,,,,allisha gray,1,csv
2023-07-16,2023,Allisha Gray,ATL,STE,H,18.0,10.0,2.0,1.0,1.0,1.0,0.0,,,,,,,,,allisha gray,1,csv
2023-07-18,2023,Allisha Gray,ATL,MIN,H,29.0,12.0,3.0,6.0,3.0,2.0,0.0,,,,,,,,,allisha gray,1,csv
2023-07-20,2023,Allisha Gray,ATL,CON,A,35.0,18.0,6.0,7.0,1.0,0.0,1.0,,,,,,,,,allisha gray,0,csv
2023-07-22,2023,Allisha Gray,ATL,CON,H,34.0,17.0,7.0,2.0,1.0,2.0,0.0,,,,,,,,,allisha gray,1,csv
2023-07-25,2023,Allisha Gray,ATL,PHX,H,25.0,12.0,5.0,3.0,2.0,0.0,2.0,,,,,,,,,allisha gray,1,csv
2023-07-27,2023,Allisha Gray,ATL,NYL,A,39.0,25.0,8.0,6.0,2.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2023-07-30,2023,Allisha Gray,ATL,WAS,H,37.0,27.0,5.0,4.0,3.0,1.0,1.0,,,,,,,,,allisha gray,1,csv
2023-08-02,2023,Allisha Gray,ATL,LVA,A,31.0,8.0,2.0,2.0,0.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2023-08-04,2023,Allisha Gray,ATL,PHX,A,23.0,10.0,4.0,1.0,1.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2023-08-06,2023,Allisha Gray,ATL,IND,H,33.0,21.0,3.0,4.0,3.0,1.0,1.0,,,,,,,,,allisha gray,1,csv
2023-08-11,2023,Allisha Gray,ATL,SEA,A,32.0,17.0,7.0,3.0,0.0,3.0,0.0,,,,,,,,,allisha gray,0,csv
2023-08-12,2023,Allisha Gray,ATL,LAS,A,30.0,8.0,4.0,4.0,0.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2023-08-14,2023,Allisha Gray,ATL,LVA,A,33.0,19.0,3.0,0.0,1.0,1.0,1.0,,,,,,,,,allisha gray,0,csv
2023-08-18,2023,Allisha Gray,ATL,CHI,H,38.0,20.0,7.0,0.0,2.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2023-08-27,2023,Allisha Gray,ATL,IND,A,36.0,13.0,4.0,4.0,1.0,0.0,1.0,,,,,,,,,allisha gray,0,csv
2023-08-29,2023,Allisha Gray,ATL,PHX,H,26.0,18.0,0.0,4.0,0.0,1.0,0.0,,,,,,,,,allisha gray,1,csv
2023-09-02,2023,Allisha Gray,ATL,MIN,A,29.0,11.0,7.0,3.0,1.0,1.0,1.0,,,,,,,,,allisha gray,0,csv
2023-09-06,2023,Allisha Gray,ATL,SEA,H,33.0,18.0,3.0,2.0,0.0,2.0,1.0,,,,,,,,,allisha gray,1,csv
2023-09-08,2023,Allisha Gray,ATL,WAS,A,37.0,17.0,8.0,1.0,2.0,0.0,0.0,,,,,,,,,allisha gray,0,csv
2023-09-10,2023,Allisha Gray,ATL,DAL,H,30.0,13.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,allisha gray,1,csv
2024-05-16,2024,Allisha Gray,ATL,LAS,A,29.0,12.0,3.0,0.0,2.0,0.0,1.0,,,,,,,,,allisha gray,0,csv
2024-05-19,2024,Allisha Gray,ATL,PHX,A,33.0,22.0,6.0,2.0,3.0,2.0,2.0,,,,,,,,,allisha gray,0,csv
2024-05-21,2024,Allisha Gray,ATL,DAL,H,35.0,21.0,2.0,3.0,4.0,3.0,0.0,,,,,,,,,allisha gray,1,csv
2024-05-26,2024,Allisha Gray,ATL,MIN,H,30.0,7.0,1.0,3.0,0.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2024-05-29,2024,Allisha Gray,ATL,WAS,A,36.0,19.0,2.0,3.0,4.0,2.0,1.0,,,,,,,,,allisha gray,0,csv
2024-05-31,2024,Allisha Gray,ATL,LVA,H,34.0,24.0,4.0,3.0,6.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2024-06-02,2024,Allisha Gray,ATL,CON,H,30.0,9.0,4.0,1.0,1.0,1.0,0.0,,,,,,,,,allisha gray,1,csv
2024-06-06,2024,Allisha Gray,ATL,NYL,H,32.0,16.0,5.0,0.0,0.0,2.0,0.0,,,,,,,,,allisha gray,1,csv
2024-06-08,2024,Allisha Gray,ATL,CHI,A,31.0,14.0,3.0,0.0,2.0,1.0,1.0,,,,,,,,,allisha gray,0,csv
2024-06-11,2024,Allisha Gray,ATL,WAS,H,28.0,9.0,5.0,5.0,1.0,0.0,1.0,,,,,,,,,allisha gray,1,csv
2024-06-13,2024,Allisha Gray,ATL,IND,A,34.0,12.0,5.0,1.0,1.0,0.0,1.0,,,,,,,,,allisha gray,0,csv
2024-06-16,2024,Allisha Gray,ATL,LAS,H,34.0,25.0,3.0,2.0,3.0,3.0,0.0,,,,,,,,,allisha gray,1,csv
2024-06-20,2024,Allisha Gray,ATL,MIN,A,38.0,7.0,8.0,4.0,0.0,2.0,0.0,,,,,,,,,allisha gray,0,csv
2024-06-21,2024,Allisha Gray,ATL,IND,H,34.0,19.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,allisha gray,1,csv
2024-06-23,2024,Allisha Gray,ATL,NYL,H,28.0,8.0,3.0,4.0,0.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2024-06-28,2024,Allisha Gray,ATL,CON,A,33.0,17.0,5.0,1.0,2.0,0.0,2.0,,,,,,,,,allisha gray,0,csv
2024-06-30,2024,Allisha Gray,ATL,NYL,A,36.0,24.0,5.0,0.0,3.0,0.0,1.0,,,,,,,,,allisha gray,0,csv
2024-07-02,2024,Allisha Gray,ATL,CHI,H,35.0,19.0,3.0,4.0,3.0,1.0,0.0,,,,,,,,,allisha gray,1,csv
2024-07-05,2024,Allisha Gray,ATL,DAL,A,37.0,19.0,7.0,8.0,1.0,1.0,1.0,,,,,,,,,allisha gray,0,csv
2024-07-07,2024,Allisha Gray,ATL,CON,A,21.0,19.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2024-07-10,2024,Allisha Gray,ATL,CHI,A,37.0,20.0,6.0,1.0,1.0,1.0,2.0,,,,,,,,,allisha gray,0,csv
2024-07-12,2024,Allisha Gray,ATL,LVA,H,38.0,11.0,7.0,4.0,0.0,0.0,1.0,,,,,,,,,allisha gray,1,csv
2024-07-14,2024,Allisha Gray,ATL,SEA,A,28.0,12.0,1.0,3.0,0.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2024-07-17,2024,Allisha Gray,ATL,MIN,A,27.0,7.0,3.0,3.0,1.0,0.0,1.0,,,,,,,,,allisha gray,0,csv
2024-07-21,2024,Allisha Gray,ATL,USA,H,22.0,16.0,3.0,3.0,1.0,5.0,0.0,,,,,,,,,allisha gray,1,csv
2024-08-16,2024,Allisha Gray,ATL,SEA,H,38.0,19.0,2.0,2.0,1.0,3.0,1.0,,,,,,,,,allisha gray,1,csv
2024-08-18,2024,Allisha Gray,ATL,CON,H,36.0,11.0,3.0,4.0,0.0,1.0,0.0,,,,,,,,,allisha gray,1,csv
2024-08-21,2024,Allisha Gray,ATL,PHX,H,33.0,21.0,3.0,2.0,3.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2024-08-23,2024,Allisha Gray,ATL,PHX,H,37.0,22.0,7.0,3.0,3.0,2.0,1.0,,,,,,,,,allisha gray,1,csv
2024-08-26,2024,Allisha Gray,ATL,IND,H,22.0,12.0,2.0,2.0,3.0,0.0,2.0,,,,,,,,,allisha gray,1,csv
2024-08-29,2024,Allisha Gray,ATL,SEA,A,38.0,22.0,5.0,0.0,2.0,1.0,1.0,,,,,,,,,allisha gray,0,csv
2024-08-31,2024,Allisha Gray,ATL,LVA,A,37.0,17.0,9.0,6.0,2.0,1.0,2.0,,,,,,,,,allisha gray,0,csv
2024-09-01,2024,Allisha Gray,ATL,LAS,A,33.0,12.0,4.0,3.0,2.0,2.0,0.0,,,,,,,,,allisha gray,0,csv
2024-09-04,2024,Allisha Gray,ATL,PHX,A,29.0,9.0,1.0,2.0,0.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2024-09-06,2024,Allisha Gray,ATL,DAL,H,42.0,19.0,8.0,3.0,2.0,1.0,1.0,,,,,,,,,allisha gray,1,csv
2024-09-08,2024,Allisha Gray,ATL,IND,A,43.0,15.0,5.0,5.0,3.0,2.0,1.0,,,,,,,,,allisha gray,0,csv
2024-09-10,2024,Allisha Gray,ATL,MIN,H,33.0,17.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2024-09-13,2024,Allisha Gray,ATL,WAS,H,37.0,17.0,10.0,5.0,2.0,3.0,1.0,,,,,,,,,allisha gray,1,csv
2024-09-15,2024,Allisha Gray,ATL,WAS,A,41.0,12.0,9.0,3.0,1.0,3.0,1.0,,,,,,,,,allisha gray,0,csv
2024-09-17,2024,Allisha Gray,ATL,CHI,H,33.0,15.0,2.0,1.0,2.0,0.0,3.0,,,,,,,,,allisha gray,1,csv
2024-09-19,2024,Allisha Gray,ATL,NYL,A,20.0,10.0,5.0,5.0,1.0,0.0,0.0,,,,,,,,,allisha gray,0,csv
2025-05-16,2025,Allisha Gray,ATL,WAS,A,36.0,25.0,8.0,7.0,6.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2025-05-20,2025,Allisha Gray,ATL,IND,A,36.0,16.0,2.0,6.0,3.0,1.0,1.0,,,,,,,,,allisha gray,0,csv
2025-05-22,2025,Allisha Gray,ATL,IND,H,31.0,11.0,5.0,2.0,0.0,1.0,0.0,,,,,,,,,allisha gray,1,csv
2025-05-24,2025,Allisha Gray,ATL,DAL,H,37.0,27.0,5.0,6.0,4.0,0.0,3.0,,,,,,,,,allisha gray,1,csv
2025-05-25,2025,Allisha Gray,ATL,CON,H,33.0,18.0,7.0,3.0,2.0,1.0,0.0,,,,,,,,,allisha gray,1,csv
2025-05-28,2025,Allisha Gray,ATL,LAS,A,36.0,25.0,5.0,6.0,2.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2025-05-31,2025,Allisha Gray,ATL,SEA,A,38.0,28.0,4.0,2.0,3.0,0.0,0.0,,,,,,,,,allisha gray,0,csv
2025-06-06,2025,Allisha Gray,ATL,CON,A,38.0,11.0,6.0,4.0,1.0,3.0,0.0,,,,,,,,,allisha gray,0,csv
2025-06-10,2025,Allisha Gray,ATL,IND,H,33.0,23.0,6.0,4.0,1.0,2.0,1.0,,,,,,,,,allisha gray,1,csv
2025-06-13,2025,Allisha Gray,ATL,CHI,H,36.0,15.0,7.0,5.0,0.0,0.0,1.0,,,,,,,,,allisha gray,1,csv
2025-06-15,2025,Allisha Gray,ATL,WAS,A,29.0,32.0,5.0,4.0,6.0,3.0,0.0,,,,,,,,,allisha gray,0,csv
2025-06-17,2025,Allisha Gray,ATL,NYL,A,36.0,14.0,5.0,5.0,2.0,0.0,0.0,,,,,,,,,allisha gray,0,csv
2025-06-20,2025,Allisha Gray,ATL,WAS,H,33.0,18.0,2.0,0.0,2.0,1.0,2.0,,,,,,,,,allisha gray,1,csv
2025-06-22,2025,Allisha Gray,ATL,CHI,H,38.0,19.0,5.0,4.0,5.0,2.0,1.0,,,,,,,,,allisha gray,1,csv
2025-06-25,2025,Allisha Gray,ATL,DAL,A,39.0,13.0,3.0,1.0,2.0,0.0,0.0,,,,,,,,,allisha gray,0,csv
2025-06-27,2025,Allisha Gray,ATL,MIN,H,42.0,17.0,8.0,4.0,1.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2025-06-29,2025,Allisha Gray,ATL,NYL,H,36.0,20.0,9.0,6.0,2.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2025-07-03,2025,Allisha Gray,ATL,SEA,H,40.0,12.0,11.0,4.0,2.0,0.0,0.0,,,,,,,,,allisha gray,1,csv
2025-07-07,2025,Allisha Gray,ATL,GSV,H,35.0,24.0,1.0,4.0,3.0,2.0,1.0,,,,,,,,,allisha gray,1,csv
2025-07-11,2025,Allisha Gray,ATL,IND,A,36.0,6.0,4.0,2.0,1.0,0.0,0.0,,,,,,,,,allisha gray,0,csv
2025-07-13,2025,Allisha Gray,ATL,NYL,A,38.0,16.0,8.0,3.0,1.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2025-07-16,2025,Allisha Gray,ATL,CHI,A,26.0,14.0,7.0,5.0,2.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2025-07-20,2025,Allisha Gray,ATL,CLA,A,16.0,18.0,0.0,2.0,5.0,0.0,0.0,,,,,,,,,allisha gray,0,csv
2025-07-23,2025,Allisha Gray,ATL,LVA,A,36.0,24.0,8.0,2.0,5.0,2.0,0.0,,,,,,,,,allisha gray,0,csv
2025-07-24,2025,Allisha Gray,ATL,PHX,A,37.0,28.0,7.0,6.0,3.0,1.0,0.0,,,,,,,,,allisha gray,0,csv
2025-07-27,2025,Allisha Gray,ATL,MIN,A,37.0,12.0,1.0,2.0,0.0,4.0,0.0,,,,,,,,,allisha gray,0,csv
2025-07-29,2025,Allisha Gray,ATL,GSV,H,34.0,12.0,6.0,2.0,2.0,3.0,0.0,,,,,,,,,allisha gray,1,csv
